title,norm_title,year,groups,authors,pubmed_id,doi,pubmed_authors,pubmed_journal
Layer 4 of mouse neocortex differs in cell types and circuit organization between sensory areas,layer 4 of mouse neocortex differs in cell types and circuit organization between sensory areas,2019,Embedding;Neural,"{""Embedding"":[""Dmitry Kobak""],""Neural"":[""Yves Bernaerts"",""Sophie Laturnus""]}",31519874,10.1038/s41467-019-12058-z,"[""Scala F"",""Kobak D"",""Shan S"",""Bernaerts Y"",""Laturnus S"",""Cadwell CR"",""Hartmanis L"",""Froudarakis E"",""Castro JR"",""Tan ZH"",""Papadopoulos S"",""Patel SS"",""Sandberg R"",""Berens P"",""Jiang X"",""Tolias AS""]",Nature communications
A systematic evaluation of interneuron morphology representations for cell type discrimination,a systematic evaluation of interneuron morphology representations for cell type discrimination,2020,Embedding;Neural,"{""Embedding"":[""Dmitry Kobak""],""Neural"":[""Sophie Laturnus""]}",32367332,10.1007/s12021-020-09461-z,"[""Laturnus S"",""Kobak D"",""Berens P""]",Neuroinformatics
MorphoPy: A python package for feature extraction of neural morphologies.,morphopy a python package for feature extraction of neural morphologies,2020,All;Neural,"{""All"":[""Ziwei Huang""],""Neural"":[""Sophie Laturnus""]}",39879256,10.1371/journal.pcbi.1012349,"[""Gros O"",""Passmore JB"",""Borst NO"",""Kutra D"",""Nijenhuis W"",""Fuqua T"",""Kapitein LC"",""Crocker JM"",""Kreshuk A"",""Köhler S""]",PLoS computational biology
Sparse bottleneck networks for exploratory analysis and visualization of neural Patch-seq data,sparse bottleneck networks for exploratory analysis and visualization of neural patch seq data,2020,Embedding;Neural,"{""Embedding"":[""Dmitry Kobak""],""Neural"":[""Yves Bernaerts""]}",,,,
A multimodal cell census and atlas of the mammalian primary motor cortex,a multimodal cell census and atlas of the mammalian primary motor cortex,2021,Embedding;Neural,"{""Embedding"":[""Dmitry Kobak""],""Neural"":[""Yves Bernaerts"",""Sophie Laturnus""]}",34616075,10.1038/s41586-021-03950-0,"[""BRAIN Initiative Cell Census Network (BICCN)""]",Nature
Estimating smooth and sparse neural receptive fields with a flexible spline basis,estimating smooth and sparse neural receptive fields with a flexible spline basis,2021,All;Neural,"{""All"":[""Ziwei Huang""],""Neural"":[""Jonathan Oesterle""]}",,,,
Interpretable gender classification from retinal fundus images using BagNets,interpretable gender classification from retinal fundus images using bagnets,2021,Embedding;MedML,"{""Embedding"":[""Dmitry Kobak""],""MedML"":[""Murat Seçkin Ayhan"",""Indu Ilanchezian""]}",34743558,10.1161/CIRCULATIONAHA.121.057709,"[""Zekavat SM"",""Raghu VK"",""Trinder M"",""Ye Y"",""Koyama S"",""Honigberg MC"",""Yu Z"",""Pampana A"",""Urbut S"",""Haidermota S"",""O'Regan DP"",""Zhao H"",""Ellinor PT"",""Segrè AV"",""Elze T"",""Wiggs JL"",""Martone J"",""Adelman RA"",""Zebardast N"",""Del Priore L"",""Wang JC"",""Natarajan P""]",Circulation
Phenotypic variation of transcriptomic cell types in mouse motor cortex,phenotypic variation of transcriptomic cell types in mouse motor cortex,2021,Embedding;Neural,"{""Embedding"":[""Dmitry Kobak""],""Neural"":[""Yves Bernaerts"",""Sophie Laturnus""]}",33184512,10.1038/s41586-020-2907-3,"[""Scala F"",""Kobak D"",""Bernabucci M"",""Bernaerts Y"",""Cadwell CR"",""Castro JR"",""Hartmanis L"",""Jiang X"",""Laturnus S"",""Miranda E"",""Mulherkar S"",""Tan ZH"",""Yao Z"",""Zeng H"",""Sandberg R"",""Berens P"",""Tolias AS""]",Nature
Sparse reduced-rank regression for exploratory visualisation of paired multivariate data,sparse reduced rank regression for exploratory visualisation of paired multivariate data,2021,Embedding;Neural,"{""Embedding"":[""Dmitry Kobak""],""Neural"":[""Yves Bernaerts""]}",,,,
Retinal horizontal cells use different synaptic sites for global feedforward and local feedback signaling,retinal horizontal cells use different synaptic sites for global feedforward and local feedback signaling,2022,Embedding;Neural,"{""Embedding"":[""Jan Lause""],""Neural"":[""Christian Behrens""]}",34910950,10.1016/j.cub.2021.11.055,"[""Behrens C"",""Yadav SC"",""Korympidou MM"",""Zhang Y"",""Haverkamp S"",""Irsen S"",""Schaedler A"",""Lu X"",""Liu Z"",""Lause J"",""St-Pierre F"",""Franke K"",""Vlasits A"",""Dedek K"",""Smith RG"",""Euler T"",""Berens P"",""Schubert T""]",Current biology : CB
Differentiable simulation enables large-scale training of detailed biophysical models of neural dynamics,differentiable simulation enables large scale training of detailed biophysical models of neural dynamics,2024,All;Neural,"{""All"":[""Ziwei Huang""],""Neural"":[""Jonas Beck"",""Kyra Kadhim""]}",,,,
Self-supervised Visualisation of Medical Image Datasets,self supervised visualisation of medical image datasets,2024,Embedding;MedML,"{""Embedding"":[""Jan Niklas Böhm"",""Dmitry Kobak""],""MedML"":[""Ifeoma Veronica Nwabufo""]}",38454721,10.3934/mbe.2024138,"[""Zhang Y"",""Gan H"",""Wang F"",""Cheng X"",""Wu X"",""Yan J"",""Yang Z"",""Zhou R""]",Mathematical biosciences and engineering : MBE
